Student_ID,Wave_Year,University,Gender,Age,Urban_Rural,Family_Income,Internet_Reliability,Current_AI_User,AI_Daily_Hours,Academic_AI_Hours_Weekly,Paid_Subscription,Primary_AI_Tool,Peer_AI_Consultation,Semester_GPA,Perceived_GPA_Impact,Time_Saved_Pct,Critical_Thinking_Impact,Problem_Solving_Improvement,Exam_Prep_AI,Attention_Span_Mins,AI_Distraction_Level,Technostress_Overload,Techno_Eustress,Literacy_Awareness,Literacy_Usage_Skill,Hallucination_Detection,Career_Preparedness,Digital_Divide_Barrier,Policy_Preference
STU-10014,2027,JnU,Male,21,Urban,Lower-Middle,2,1,2.8,6.09,0,Gemini,5,3.75,1,33.3,4,2,1,33,1,5,4,4,3,2,2,3,Neutral
STU-10014,2028,JnU,Male,22,Urban,Lower-Middle,5,1,5.78,14.96,1,GitHub Copilot,1,3.85,0,32.6,3,1,1,62,1,3,4,4,4,2,5,5,Restriction
STU-10015,2026,AIUB,Male,20,Rural,Middle,4,1,3.01,7.26,0,Other,3,3.57,-1,20.7,3,2,1,52,5,1,5,3,2,2,5,1,Restriction
STU-10015,2027,AIUB,Male,21,Rural,Middle,2,1,5.11,11.91,0,Gemini,5,3.32,2,40.8,5,5,0,33,1,3,3,4,4,2,5,1,Restriction
STU-10015,2028,AIUB,Male,22,Rural,Middle,3,1,1.97,7.28,1,Gemini,2,3.24,-1,40.8,5,1,0,42,1,1,1,5,4,3,2,1,Neutral
STU-10016,2026,CU,Male,19,Rural,Middle,1,1,3.48,13.57,0,GitHub Copilot,3,2.45,3,40.4,5,1,1,29,2,1,5,3,3,2,1,2,Integration
STU-10016,2027,CU,Male,21,Rural,Middle,2,1,2.91,8.28,0,GitHub Copilot,3,2.4,0,30.9,1,3,1,53,4,5,2,5,4,5,3,2,Neutral
STU-10016,2028,CU,Male,21,Rural,Middle,4,1,6.17,22.08,0,Claude,1,2.32,3,34.6,2,3,1,36,3,3,4,5,4,1,5,5,Banned
STU-10017,2026,DIU,Male,19,Urban,Lower-Middle,5,0,0.22,0.6,0,GitHub Copilot,2,3.04,3,0.0,1,1,0,52,1,1,1,4,4,4,4,3,Restriction
STU-10017,2027,DIU,Male,21,Urban,Lower-Middle,3,1,2.03,7.72,1,GitHub Copilot,4,3.21,1,26.1,5,5,0,27,2,1,2,5,4,1,2,3,Banned
STU-10017,2028,DIU,Male,21,Urban,Lower-Middle,1,1,4.11,12.48,0,ChatGPT,5,3.18,1,25.8,2,2,1,52,1,3,3,5,5,5,5,1,Integration
STU-10018,2026,JU,Male,19,Urban,Upper-Middle,5,1,2.43,8.43,0,GitHub Copilot,3,2.94,3,12.0,2,5,1,45,3,2,3,2,2,2,3,5,Integration
STU-10018,2027,JU,Male,21,Urban,Upper-Middle,4,1,4.55,16.82,1,ChatGPT,5,2.93,1,19.5,5,2,1,46,3,4,5,2,1,5,2,1,Neutral
STU-10018,2028,JU,Male,21,Urban,Upper-Middle,2,1,3.19,11.59,0,Other,4,2.97,0,21.5,3,1,0,27,4,5,3,3,3,3,2,1,Banned
STU-10019,2026,RU,Female,20,Rural,Upper-Middle,1,1,3.12,9.87,0,Claude,3,3.79,0,44.9,5,4,1,34,3,3,4,3,2,4,5,3,Integration
STU-10019,2027,RU,Female,20,Rural,Upper-Middle,2,1,2.8,5.61,0,Claude,5,3.48,2,27.0,5,1,0,55,3,4,2,3,2,4,3,3,Neutral
STU-10019,2028,RU,Female,21,Rural,Upper-Middle,3,1,4.16,16.35,0,Other,3,3.73,1,26.4,4,2,0,43,3,1,1,4,4,4,2,4,Banned
STU-10020,2026,ULAB,Male,19,Urban,Upper-Middle,4,1,2.69,5.55,1,Gemini,4,2.79,-1,10.0,1,4,1,31,1,4,5,3,2,2,3,5,Integration
STU-10020,2027,ULAB,Male,21,Urban,Upper-Middle,3,1,2.53,8.56,1,ChatGPT,3,2.93,1,14.2,1,4,0,39,4,4,1,5,5,2,4,1,Restriction
STU-10020,2028,ULAB,Male,21,Urban,Upper-Middle,5,1,5.53,11.94,0,Claude,2,2.74,0,42.0,2,2,0,44,5,3,3,5,5,1,1,1,Restriction
STU-10021,2026,RUET,Male,20,Rural,Upper-Middle,2,1,2.2,7.85,0,ChatGPT,4,3.48,0,27.5,2,4,0,64,4,5,1,3,2,3,2,3,Neutral
STU-10021,2027,RUET,Male,20,Rural,Upper-Middle,5,1,5.51,18.27,0,Claude,2,3.4,1,19.1,1,3,0,41,5,5,1,4,3,4,1,5,Neutral
STU-10021,2028,RUET,Male,22,Rural,Upper-Middle,4,1,2.86,7.84,1,Claude,1,3.37,1,33.1,4,2,0,56,2,4,2,5,4,2,4,2,Neutral
STU-10022,2026,SSMC,Female,20,Urban,Lower-Middle,2,1,3.12,7.73,1,Other,5,3.38,3,27.5,4,5,0,60,4,2,1,4,3,1,1,4,Restriction
STU-10022,2027,SSMC,Female,21,Urban,Lower-Middle,4,1,5.71,12.91,1,Gemini,2,3.32,1,27.7,2,5,1,54,4,1,1,4,3,4,3,4,Integration
STU-10022,2028,SSMC,Female,21,Urban,Lower-Middle,3,1,2.89,10.03,0,Other,1,3.32,-1,38.2,4,4,0,37,2,1,5,5,5,2,5,1,Neutral
STU-10023,2026,CU,Female,19,Rural,Lower-Middle,3,1,1.17,3.49,0,GitHub Copilot,5,3.47,2,38.2,2,4,0,48,2,5,1,3,2,5,5,2,Integration
STU-10023,2027,CU,Female,21,Rural,Lower-Middle,1,1,2.95,6.09,1,GitHub Copilot,1,3.58,-1,18.6,5,5,0,46,2,1,1,3,2,1,5,1,Integration
STU-10023,2028,CU,Female,22,Rural,Lower-Middle,5,1,2.87,10.13,1,Gemini,2,3.32,0,45.1,3,5,0,37,1,1,5,4,3,1,4,2,Neutral
STU-10024,2026,MIST,Male,20,Urban,Lower-Middle,1,1,4.46,12.32,1,Claude,4,3.42,3,42.6,1,4,0,59,4,4,3,4,4,2,4,3,Neutral
STU-10024,2027,MIST,Male,21,Urban,Lower-Middle,5,0,0.26,1.0,0,Gemini,3,3.29,2,0.0,5,5,1,55,3,2,5,4,4,5,4,3,Integration
STU-10024,2028,MIST,Male,22,Urban,Lower-Middle,4,1,4.27,14.67,0,Other,4,3.46,0,14.9,3,4,1,35,1,2,5,5,5,4,4,4,Restriction
STU-10025,2026,CoU,Male,19,Urban,Middle,2,1,2.77,6.72,0,Claude,1,3.93,3,46.2,1,2,0,45,5,4,2,4,4,3,4,4,Neutral
STU-10025,2027,CoU,Male,21,Urban,Middle,1,1,1.99,5.67,0,ChatGPT,3,3.96,2,44.5,5,1,1,43,4,3,2,5,4,5,5,1,Restriction
STU-10025,2028,CoU,Male,22,Urban,Middle,5,1,3.78,12.98,0,GitHub Copilot,3,3.85,2,39.0,2,5,1,57,4,5,1,5,5,3,1,1,Neutral
STU-10026,2026,JnU,Female,20,Urban,Middle,3,0,0.0,0.0,0,Gemini,2,3.59,2,0.0,2,1,0,42,4,2,4,4,3,5,5,1,Neutral
STU-10026,2027,JnU,Female,20,Urban,Middle,4,1,5.59,15.07,0,GitHub Copilot,3,3.35,3,14.8,3,5,1,24,4,1,1,5,5,5,4,2,Banned
STU-10026,2028,JnU,Female,22,Urban,Middle,4,1,3.21,10.97,0,ChatGPT,2,3.54,3,24.4,5,2,0,41,3,4,2,5,5,2,3,3,Neutral
STU-10027,2026,IUB,Male,20,Urban,Middle,3,0,0.0,0.0,0,ChatGPT,5,2.77,1,0.0,2,3,1,42,3,2,4,2,2,2,1,2,Integration
STU-10027,2027,IUB,Male,21,Urban,Middle,1,0,0.05,0.15,0,Other,4,2.65,1,0.0,3,1,1,39,5,2,4,3,2,4,5,4,Banned
STU-10027,2028,IUB,Male,21,Urban,Middle,4,1,2.51,7.23,0,Other,3,2.7,0,36.0,3,3,0,31,3,2,2,5,4,2,3,2,Integration
STU-10028,2026,EWU,Female,20,Urban,Low,1,1,0.85,2.55,1,ChatGPT,5,2.63,2,22.3,4,4,1,49,5,4,5,3,2,3,4,5,Integration
STU-10028,2027,EWU,Female,21,Urban,Low,5,1,4.1,14.42,0,Other,1,2.66,3,10.5,2,5,0,32,5,2,5,4,3,4,1,3,Integration
STU-10028,2028,EWU,Female,22,Urban,Low,5,1,1.06,3.15,0,GitHub Copilot,4,2.89,0,29.0,1,5,1,37,2,5,1,5,4,1,1,1,Integration
STU-10029,2026,RU,Female,19,Urban,Upper-Middle,1,1,3.54,11.42,0,Other,3,3.02,3,39.5,1,5,1,57,5,1,3,2,1,5,3,3,Banned
STU-10029,2027,RU,Female,21,Urban,Upper-Middle,4,1,3.02,8.14,0,Gemini,4,2.83,1,17.0,5,5,1,35,4,1,1,3,2,2,2,3,Integration
STU-10029,2028,RU,Female,21,Urban,Upper-Middle,1,1,3.78,11.58,0,Claude,2,3.01,3,15.0,3,2,1,46,5,5,4,4,4,3,2,1,Banned
STU-10030,2026,DMC,Female,19,Urban,Lower-Middle,5,1,1.67,4.29,0,ChatGPT,4,3.06,-1,31.8,5,5,1,57,4,3,3,3,2,4,5,5,Restriction
STU-10030,2027,DMC,Female,20,Urban,Lower-Middle,2,1,2.79,6.77,0,GitHub Copilot,5,3.12,1,40.3,1,3,0,36,3,5,4,4,3,1,5,2,Restriction
STU-10030,2028,DMC,Female,22,Urban,Lower-Middle,3,1,3.69,9.67,0,Gemini,3,3.0,0,24.2,5,1,1,52,2,4,1,5,5,1,2,5,Integration
STU-10031,2026,NSU,Female,20,Urban,Lower-Middle,3,1,2.12,4.83,0,Other,2,3.41,2,17.3,5,4,0,32,4,5,3,3,3,5,2,4,Banned
STU-10031,2027,NSU,Female,21,Urban,Lower-Middle,3,1,2.97,7.54,0,ChatGPT,3,3.19,3,39.8,2,5,0,43,5,4,1,4,3,1,2,4,Integration
STU-10031,2028,NSU,Female,21,Urban,Lower-Middle,4,1,5.96,15.49,0,GitHub Copilot,4,3.31,1,37.4,4,3,0,47,1,2,5,4,3,4,5,2,Restriction
STU-10032,2026,CU,Female,19,Urban,Upper-Middle,2,1,2.48,9.31,0,Other,4,3.53,-1,27.4,5,4,1,40,2,3,1,4,4,1,4,1,Restriction
STU-10032,2027,CU,Female,20,Urban,Upper-Middle,4,1,3.21,10.65,1,GitHub Copilot,2,3.45,2,21.0,4,2,1,46,2,1,5,5,5,4,1,5,Banned
STU-10032,2028,CU,Female,22,Urban,Upper-Middle,2,0,0.36,1.26,0,Other,2,3.63,0,0.0,4,1,0,29,1,3,3,5,4,5,4,1,Integration
STU-10033,2026,BU,Female,20,Rural,Lower-Middle,4,1,2.85,9.82,0,ChatGPT,1,3.67,0,13.3,2,1,1,45,5,5,2,3,3,1,2,2,Restriction
STU-10033,2027,BU,Female,21,Rural,Lower-Middle,4,1,2.82,5.98,0,GitHub Copilot,3,3.89,0,49.1,3,1,1,51,2,4,4,4,4,5,4,4,Restriction
STU-10033,2028,BU,Female,22,Rural,Lower-Middle,2,1,3.46,10.77,0,Gemini,4,3.78,-1,25.6,3,4,0,47,1,3,2,5,4,3,5,3,Neutral
STU-10034,2026,EWU,Female,20,Urban,Lower-Middle,2,1,3.57,8.28,0,GitHub Copilot,2,3.23,1,24.5,3,2,0,39,5,4,3,1,0,4,3,1,Banned
STU-10034,2027,EWU,Female,20,Urban,Lower-Middle,5,1,2.23,8.83,0,Other,2,3.42,2,49.9,2,3,0,43,3,5,1,2,1,1,4,1,Banned
STU-10034,2028,EWU,Female,21,Urban,Lower-Middle,4,1,2.79,10.71,0,GitHub Copilot,4,3.43,-1,28.8,4,4,0,40,3,4,4,3,3,2,5,4,Banned
STU-10035,2026,UIU,Female,20,Urban,Low,1,0,0.0,0.0,0,Gemini,3,3.5,-1,0.0,4,5,1,65,2,2,3,3,3,4,1,4,Banned
STU-10035,2027,UIU,Female,20,Urban,Low,5,1,2.66,5.5,0,GitHub Copilot,4,3.55,2,19.3,1,3,1,30,1,3,3,4,3,3,3,2,Banned
STU-10035,2028,UIU,Female,22,Urban,Low,3,1,5.25,14.84,0,Gemini,4,3.72,-1,11.7,2,1,0,39,3,3,2,5,4,1,4,4,Integration
STU-10036,2026,CoU,Male,19,Urban,Middle,4,0,0.0,0.0,0,ChatGPT,4,2.9,-1,0.0,3,5,0,52,1,4,3,3,3,4,2,1,Integration
STU-10036,2027,CoU,Male,21,Urban,Middle,1,1,1.67,4.3,0,Gemini,2,2.98,3,30.9,5,4,0,65,3,4,1,5,4,5,1,5,Integration
STU-10036,2028,CoU,Male,22,Urban,Middle,1,1,5.46,11.2,0,GitHub Copilot,4,2.97,-1,23.6,4,5,1,57,4,1,5,5,4,4,4,4,Banned
STU-10037,2026,IUB,Male,20,Rural,Lower-Middle,1,1,3.97,7.97,0,Claude,3,3.63,1,21.1,1,1,0,46,5,1,3,3,3,3,5,4,Banned
STU-10037,2027,IUB,Male,21,Rural,Lower-Middle,1,1,4.44,10.84,0,GitHub Copilot,1,3.64,0,28.5,5,1,1,24,1,1,5,4,3,1,1,5,Neutral
STU-10037,2028,IUB,Male,21,Rural,Lower-Middle,3,1,4.17,8.72,0,Other,1,3.51,2,39.2,5,5,0,41,4,5,1,5,4,2,4,2,Integration
STU-10038,2026,BRUR,Male,20,Urban,Middle,1,1,1.43,4.18,0,Gemini,4,2.65,2,46.0,4,2,0,50,5,1,2,4,4,3,3,5,Restriction
STU-10038,2027,BRUR,Male,20,Urban,Middle,4,1,2.75,6.44,0,Other,2,2.66,3,12.7,2,1,0,45,4,3,3,5,4,5,2,5,Integration
STU-10038,2028,BRUR,Male,21,Urban,Middle,1,1,3.14,6.71,0,Gemini,2,2.65,2,36.9,1,5,1,38,2,3,3,5,5,4,1,3,Banned
STU-10039,2026,UIU,Female,19,Urban,Lower-Middle,2,1,4.15,13.66,0,Gemini,3,2.97,1,22.4,5,2,1,40,4,4,1,1,0,4,1,5,Restriction
STU-10039,2027,UIU,Female,20,Urban,Lower-Middle,3,1,2.29,5.2,0,Gemini,3,3.06,0,25.8,3,5,0,32,2,5,5,2,2,4,5,3,Neutral
STU-10039,2028,UIU,Female,21,Urban,Lower-Middle,5,1,3.95,10.17,1,GitHub Copilot,1,3.18,3,48.8,4,5,0,44,1,1,5,4,4,5,5,3,Neutral
STU-10040,2026,SSMC,Female,19,Rural,Middle,4,0,0.33,0.88,0,Other,3,2.66,3,0.0,2,3,1,47,1,2,3,2,1,5,4,5,Integration
STU-10040,2027,SSMC,Female,21,Rural,Middle,3,1,4.35,16.61,0,Other,4,2.43,3,39.8,4,5,0,45,4,1,2,3,3,1,3,3,Restriction
STU-10040,2028,SSMC,Female,22,Rural,Middle,2,1,3.98,11.87,0,Gemini,3,2.63,-1,24.5,1,3,0,40,3,4,5,5,4,1,4,5,Integration
STU-10041,2026,JUST,Male,20,Rural,Low,5,1,2.43,5.01,1,Claude,2,2.97,3,24.3,2,1,1,52,3,1,3,1,0,2,2,1,Banned
STU-10041,2027,JUST,Male,20,Rural,Low,5,1,4.09,8.22,1,GitHub Copilot,1,2.94,-1,43.8,2,1,1,41,3,3,3,2,2,4,5,5,Banned
STU-10041,2028,JUST,Male,21,Rural,Low,2,1,2.88,10.35,0,GitHub Copilot,2,2.92,0,38.4,4,2,0,48,3,3,5,4,3,5,1,1,Integration
STU-10042,2026,BRACU,Female,20,Urban,Lower-Middle,4,1,3.02,9.8,0,Claude,2,2.72,2,19.4,5,4,0,47,4,2,2,2,2,2,3,1,Banned
STU-10042,2027,BRACU,Female,21,Urban,Lower-Middle,1,1,3.64,7.74,0,ChatGPT,5,2.62,2,39.6,5,4,0,43,1,1,3,2,1,1,3,2,Banned
STU-10042,2028,BRACU,Female,21,Urban,Lower-Middle,3,1,5.29,20.2,0,GitHub Copilot,3,2.7,3,14.6,2,5,0,32,5,5,3,3,2,5,1,4,Neutral
STU-10043,2026,JUST,Male,19,Rural,Lower-Middle,4,1,2.62,9.76,0,Claude,3,3.67,2,10.1,1,5,1,35,5,5,4,2,1,2,1,1,Restriction
STU-10043,2027,JUST,Male,21,Rural,Lower-Middle,5,1,4.56,15.99,0,ChatGPT,4,3.67,0,39.5,4,4,0,39,1,4,5,2,2,3,3,5,Integration
STU-10043,2028,JUST,Male,22,Rural,Lower-Middle,5,1,6.95,23.45,0,Claude,1,3.68,2,48.0,3,1,0,30,1,4,4,3,3,5,3,1,Banned
STU-10044,2026,UIU,Male,20,Rural,Lower-Middle,5,1,2.66,5.72,0,ChatGPT,2,2.9,3,20.6,5,1,0,36,1,4,3,1,0,4,5,4,Neutral
STU-10044,2027,UIU,Male,21,Rural,Lower-Middle,5,1,4.1,11.45,0,Gemini,5,2.97,-1,47.5,2,4,0,49,4,4,2,2,2,2,1,5,Banned
STU-10044,2028,UIU,Male,22,Rural,Lower-Middle,4,1,4.03,14.33,0,Claude,4,2.92,0,45.8,1,2,0,29,5,4,4,3,2,3,1,1,Neutral
STU-10045,2026,NSU,Female,20,Rural,Middle,1,1,2.37,9.28,0,Other,2,3.48,3,48.5,2,2,1,65,5,3,5,3,3,4,5,3,Banned
STU-10045,2027,NSU,Female,21,Rural,Middle,1,1,3.67,8.79,1,Gemini,2,3.6,-1,18.8,5,1,1,35,2,2,4,4,4,3,5,3,Integration
STU-10045,2028,NSU,Female,22,Rural,Middle,2,1,4.24,16.66,0,Claude,4,3.48,-1,28.3,1,3,1,56,2,5,4,5,4,5,2,4,Integration
STU-10046,2026,AUST,Male,19,Urban,Middle,3,1,4.08,8.4,0,Other,5,3.72,0,46.1,3,2,0,79,1,3,4,3,3,5,3,3,Integration
STU-10046,2027,AUST,Male,21,Urban,Middle,5,1,0.8,2.01,0,Gemini,2,3.53,2,43.9,1,2,1,53,5,4,4,3,2,2,3,3,Integration
STU-10046,2028,AUST,Male,21,Urban,Middle,5,1,4.32,12.37,0,Gemini,5,3.69,1,23.1,3,3,0,48,2,5,5,4,4,4,2,4,Neutral
STU-10047,2026,DMC,Female,20,Urban,Low,3,1,1.56,4.71,0,Gemini,5,3.25,2,37.7,2,4,0,58,2,1,1,3,2,5,4,5,Integration
STU-10047,2027,DMC,Female,20,Urban,Low,5,1,4.43,12.55,0,Other,1,3.17,0,18.0,5,5,1,49,1,5,5,3,2,2,2,5,Integration
STU-10047,2028,DMC,Female,22,Urban,Low,3,1,2.28,9.11,0,Other,5,3.34,-1,25.2,2,2,1,45,3,2,1,5,4,3,2,1,Integration
STU-10048,2026,JU,Male,19,Rural,Low,2,1,0.73,2.47,0,Gemini,1,2.71,0,39.2,1,1,1,39,5,4,4,1,0,3,1,1,Banned
STU-10048,2027,JU,Male,20,Rural,Low,1,1,3.81,10.52,0,GitHub Copilot,2,2.72,-1,11.0,4,3,1,43,2,1,2,3,2,4,3,5,Neutral
STU-10048,2028,JU,Male,21,Rural,Low,5,1,4.46,13.42,0,Other,3,2.84,1,25.9,3,3,1,46,4,2,3,4,3,5,3,2,Banned
STU-10049,2026,AIUB,Male,19,Urban,Middle,1,1,3.52,10.06,1,Other,3,2.68,-1,21.4,1,3,1,31,5,3,2,2,2,4,1,5,Banned
STU-10049,2027,AIUB,Male,20,Urban,Middle,3,1,4.68,16.7,0,GitHub Copilot,5,2.93,0,47.7,1,1,1,43,1,2,2,4,3,4,1,5,Restriction
STU-10049,2028,AIUB,Male,21,Urban,Middle,4,1,2.86,6.15,0,Claude,1,2.65,1,20.7,4,2,1,44,2,3,3,5,4,4,3,1,Restriction
STU-10050,2026,NSU,Male,20,Rural,Middle,1,1,3.78,11.55,0,Claude,5,3.56,2,47.9,2,1,1,32,3,5,3,3,3,4,2,1,Integration
STU-10050,2027,NSU,Male,20,Rural,Middle,1,1,3.76,11.6,1,Claude,4,3.32,-1,43.6,2,1,1,58,2,3,2,4,3,4,3,5,Neutral
